Shoe name,Sale price,Original price,Discount percentage,More info,Shoe picture
Nike Free 2025,"R 1 599,99","R 1 999,95",-20% off,https://www.nike.com/za/t/free-2025-workout-shoes-7Qwjrh/HF1078-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/163f6b69-125b-4ed1-96fd-e2bd769d18d1/NIKE+FREE+2025.png"
Jordan Trunner O/S,"R 1 799,99","R 2 199,95",-18% off,https://www.nike.com/za/t/jordan-trunner-o-s-shoes-lvAKzqlz/IB3722-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8b7de019-d427-4214-9946-5790af5b1c97/JORDAN+TRUNNER+O%2FS.png"
Nike Shox Ride 2,"R 2 799,99","R 3 499,95",-20% off,https://www.nike.com/za/t/shox-ride-2-shoes-xFaPDkiW/IO4296-002,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0fdea308-381c-49fa-b98e-383b1d68ff05/NIKE+SHOX+RIDE+2.png"
Jordan Spizike Low,"R 2 699,99","R 3 299,95",-18% off,https://www.nike.com/za/t/jordan-spizike-low-shoes-lGNCtG/FQ1759-007,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/711fb8d8-3154-4376-a068-0d5439bd6b64/JORDAN+SPIZIKE+LOW.png"
Nike Pegasus 41,"R 2 099,99","R 2 899,95",-27% off,https://www.nike.com/za/t/pegasus-41-road-running-shoes-4QmiSFNo/FD2722-119,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0333e735-1db1-43d1-b9d9-89fbb39a4179/AIR+ZOOM+PEGASUS+41.png"
Jordan Flight Court,"R 1 599,99","R 1 999,95",-20% off,https://www.nike.com/za/t/jordan-flight-court-shoes-TCsrVH/HF3255-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2801c940-f328-439a-b13f-a3ce3f97f386/JORDAN+FLIGHT+COURT.png"
Air Jordan 1 Mid,"R 1 899,99","R 2 699,95",-29% off,https://www.nike.com/za/t/air-jordan-1-mid-shoes-ntkGmF/DQ8426-102,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ab8d8bb7-536e-43af-8f49-5d86c370b7a2/AIR+JORDAN+1+MID.png"
Nike Air Max 95 'Big Bubble',"R 2 599,99","R 3 699,95",-29% off,https://www.nike.com/za/t/air-max-95-big-bubble-shoes-mlQcmW/IB1667-004,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/72c81c6e-8319-4d56-bba0-a86fee0e5e36/NIKE+AIR+MAX+95+BIG+BUBBLE.png"
Nike Dunk Low Retro 'Berlin',"R 1 899,99","R 2 599,95",-27% off,https://www.nike.com/za/launch/r/FZ3053-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/ba27f772-2b92-4ae6-84f0-2897ead49c7d/NIKE+DUNK+LOW+RETRO+QS.png
Nike Ava Rover,"R 1 999,99","R 2 799,95",-28% off,https://www.nike.com/za/t/ava-rover-shoes-vkkz18/DX4215-003,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/02d73bf0-bd26-47db-8e10-7bf55eaeef3e/NIKE+AVA+ROVER.png"
Nike Air Max Dn,"R 2 399,99","R 3 299,95",-27% off,https://www.nike.com/za/t/air-max-dn-shoes-q51Wwn/DV3337-006,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/35c07f69-1d7a-4272-abe4-4adf4b9a9d2f/AIR+MAX+DN.png"
Nike Shox R4,"R 2 099,99","R 2 999,95",-30% off,https://www.nike.com/za/t/shox-r4-shoes-BzTGGb/HQ1988-004,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d6f3d0f1-af32-49cb-b3c1-561c3a95aace/NIKE+SHOX+R4.png"
Jordan Spizike Low,"R 2 399,99","R 3 299,95",-27% off,https://www.nike.com/za/t/jordan-spizike-low-shoes-M8xDhK/IM2176-133,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ff119b06-acb8-4653-84f3-506dc94b6a5a/JORDAN+SPIZIKE+LOW.png"
Nike Air Max Plus,"R 2 999,99","R 3 699,95",-19% off,https://www.nike.com/za/t/air-max-plus-shoes-vGsr6j/DM0032-108,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/29d611ec-e630-4477-b9e6-bc7b441fcb57/NIKE+AIR+MAX+PLUS.png"
Luka .77 'Gum',"R 1 599,99","R 1 999,95",-20% off,https://www.nike.com/za/t/luka-77-gum-basketball-shoes-bVGVdz/HF0806-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ee8c02a1-a85a-4e39-a665-a8bd85870df1/JORDAN+LUKA+.77.png"
Nike T90 SP,"R 1 599,99","R 1 999,95",-20% off,https://www.nike.com/za/t/t90-sp-shoes-j4TPHH/HJ9351-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/13c890c4-bdf9-4470-aecf-f249d7acfc9f/T90+SP.png"
Nike Air Max 95,"R 2 599,99","R 3 699,95",-29% off,https://www.nike.com/za/t/air-max-95-shoes-kNzx6z/IB7682-001,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/fb125c4f-604c-454d-803b-8b2e6b35094b/NIKE+AIR+MAX+95+OG.png
